 Loading model...
Downloading data from 2016-01-01 to 2024-08-01...

=== LIVE PAPER-TRADING SIMULATION ===

Start: 2023-01-02  End: 2024-08-01
Costs: comm=0.001, slip=0.0005, fill_rate=0.9
Latency: True  Turnover cap: 0.15  Vol target: 0.15
----------------------------------------------------------------------
2023-01-02 | Value: 1.0002 | Return: +0.019% | Trade: 15.00% | Assets held: 98 | Cost: 0.022%
2023-01-03 | Value: 1.0053 | Return: +0.508% | Trade: 13.90% | Assets held: 98 | Cost: 0.021%
2023-01-04 | Value: 0.9971 | Return: -0.810% | Trade: 13.86% | Assets held: 98 | Cost: 0.021%
2023-01-05 | Value: 1.0126 | Return: +1.550% | Trade: 8.96% | Assets held: 98 | Cost: 0.013%
2023-01-06 | Value: 1.0131 | Return: +0.054% | Trade: 4.49% | Assets held: 98 | Cost: 0.007%
2023-01-09 | Value: 1.0180 | Return: +0.485% | Trade: 7.01% | Assets held: 98 | Cost: 0.011%
2023-01-10 | Value: 1.0254 | Return: +0.727% | Trade: 6.38% | Assets held: 98 | Cost: 0.010%
2023-01-11 | Value: 1.0328 | Return: +0.719% | Trade: 6.17% | Assets held: 98 | Cost: 0.009%
2023-01-12 | Value: 1.0391 | Return: +0.608% | Trade: 5.64% | Assets held: 98 | Cost: 0.008%
2023-01-13 | Value: 1.0410 | Return: +0.187% | Trade: 6.54% | Assets held: 98 | Cost: 0.010%
2023-01-16 | Value: 1.0400 | Return: -0.096% | Trade: 4.83% | Assets held: 98 | Cost: 0.007%
2023-01-17 | Value: 1.0264 | Return: -1.307% | Trade: 7.46% | Assets held: 98 | Cost: 0.011%
2023-01-18 | Value: 1.0229 | Return: -0.341% | Trade: 5.55% | Assets held: 98 | Cost: 0.008%
2023-01-19 | Value: 1.0394 | Return: +1.609% | Trade: 4.70% | Assets held: 98 | Cost: 0.007%
2023-01-20 | Value: 1.0499 | Return: +1.006% | Trade: 4.01% | Assets held: 98 | Cost: 0.006%
2023-01-23 | Value: 1.0465 | Return: -0.324% | Trade: 5.82% | Assets held: 98 | Cost: 0.009%
2023-01-24 | Value: 1.0479 | Return: +0.138% | Trade: 4.15% | Assets held: 98 | Cost: 0.006%
2023-01-25 | Value: 1.0598 | Return: +1.132% | Trade: 4.24% | Assets held: 98 | Cost: 0.006%
2023-01-26 | Value: 1.0663 | Return: +0.621% | Trade: 3.43% | Assets held: 98 | Cost: 0.005%
2023-01-27 | Value: 1.0511 | Return: -1.425% | Trade: 3.32% | Assets held: 98 | Cost: 0.005%
2023-01-30 | Value: 1.0673 | Return: +1.535% | Trade: 2.22% | Assets held: 98 | Cost: 0.003%
2023-01-31 | Value: 1.0852 | Return: +1.675% | Trade: 2.36% | Assets held: 98 | Cost: 0.004%
2023-02-01 | Value: 1.1021 | Return: +1.562% | Trade: 3.06% | Assets held: 98 | Cost: 0.005%
2023-02-02 | Value: 1.0863 | Return: -1.430% | Trade: 2.01% | Assets held: 98 | Cost: 0.003%
2023-02-03 | Value: 1.0768 | Return: -0.877% | Trade: 3.01% | Assets held: 98 | Cost: 0.005%
2023-02-06 | Value: 1.0881 | Return: +1.044% | Trade: 2.90% | Assets held: 98 | Cost: 0.004%
2023-02-07 | Value: 1.0810 | Return: -0.648% | Trade: 2.13% | Assets held: 98 | Cost: 0.003%
2023-02-08 | Value: 1.0726 | Return: -0.776% | Trade: 3.12% | Assets held: 98 | Cost: 0.005%
2023-02-09 | Value: 1.0708 | Return: -0.174% | Trade: 3.13% | Assets held: 98 | Cost: 0.005%
2023-02-10 | Value: 1.0794 | Return: +0.804% | Trade: 3.12% | Assets held: 98 | Cost: 0.005%
2023-02-13 | Value: 1.0841 | Return: +0.442% | Trade: 2.22% | Assets held: 98 | Cost: 0.003%
2023-02-14 | Value: 1.0924 | Return: +0.766% | Trade: 2.25% | Assets held: 98 | Cost: 0.003%
2023-02-15 | Value: 1.0822 | Return: -0.938% | Trade: 2.43% | Assets held: 98 | Cost: 0.004%
2023-02-16 | Value: 1.0802 | Return: -0.189% | Trade: 2.54% | Assets held: 98 | Cost: 0.004%
2023-02-17 | Value: 1.0803 | Return: +0.015% | Trade: 3.66% | Assets held: 98 | Cost: 0.005%
2023-02-20 | Value: 1.0621 | Return: -1.690% | Trade: 4.06% | Assets held: 98 | Cost: 0.006%
2023-02-21 | Value: 1.0612 | Return: -0.081% | Trade: 4.27% | Assets held: 98 | Cost: 0.006%
2023-02-22 | Value: 1.0638 | Return: +0.243% | Trade: 3.55% | Assets held: 98 | Cost: 0.005%
2023-02-23 | Value: 1.0522 | Return: -1.091% | Trade: 3.32% | Assets held: 98 | Cost: 0.005%
2023-02-24 | Value: 1.0557 | Return: +0.334% | Trade: 4.43% | Assets held: 98 | Cost: 0.007%
2023-02-27 | Value: 1.0534 | Return: -0.219% | Trade: 4.53% | Assets held: 98 | Cost: 0.007%
2023-02-28 | Value: 1.0500 | Return: -0.324% | Trade: 4.82% | Assets held: 98 | Cost: 0.007%
2023-03-01 | Value: 1.0556 | Return: +0.539% | Trade: 4.65% | Assets held: 98 | Cost: 0.007%
2023-03-02 | Value: 1.0685 | Return: +1.215% | Trade: 5.44% | Assets held: 98 | Cost: 0.008%
2023-03-03 | Value: 1.0665 | Return: -0.183% | Trade: 4.21% | Assets held: 98 | Cost: 0.006%
2023-03-06 | Value: 1.0540 | Return: -1.169% | Trade: 7.00% | Assets held: 98 | Cost: 0.010%
2023-03-07 | Value: 1.0536 | Return: -0.045% | Trade: 5.90% | Assets held: 98 | Cost: 0.009%
2023-03-08 | Value: 1.0315 | Return: -2.097% | Trade: 5.60% | Assets held: 98 | Cost: 0.008%
2023-03-09 | Value: 1.0142 | Return: -1.671% | Trade: 7.21% | Assets held: 98 | Cost: 0.011%
2023-03-10 | Value: 1.0275 | Return: +1.305% | Trade: 5.76% | Assets held: 98 | Cost: 0.009%
2023-03-13 | Value: 1.0442 | Return: +1.624% | Trade: 5.99% | Assets held: 98 | Cost: 0.009%
2023-03-14 | Value: 1.0380 | Return: -0.591% | Trade: 4.71% | Assets held: 98 | Cost: 0.007%
